Employee_ID,FName,LName,Gender,State,City,Education_Level,Birthdate,Hiredate,Termdate,Department,Job_Title,Salary,Performance_Rating
00-95822412,Rebecca,Johnson,Female,New York,New York City,High School,13/02/1980,16/04/2016,05/07/2021,Customer Service,Help Desk Technician,81552,Needs Improvement
00-42868828,Anthony,Taylor,Male,North Carolina,Charlotte,Bachelor,22/09/1987,09/02/2017,14/06/2019,IT,System Administrator,107520,Good
00-83197857,Daniel,Mcclain,Male,New York,New York City,Bachelor,19/05/1994,03/02/2016,06/03/2021,Operations,Logistics Coordinator,61104,Good
00-13999315,William,Johnson,Male,New York,New York City,Bachelor,18/04/1980,06/02/2016,06/11/2018,Operations,Inventory Specialist,73770,Good
00-90801586,Alexis,Wagner,Female,New York,New York City,Bachelor,07/04/1985,11/01/2015,,Operations,Operations Analyst,55581,Satisfactory
00-97226012,Jessica,Baldwin,Female,New York,New York City,Bachelor,31/05/1988,30/09/2022,29/03/2023,Operations,Operations Analyst,73800,Good
00-70291817,Billy,Robinson,Male,New York,New York City,Bachelor,16/07/1991,16/08/2020,12/02/2021,Finance,Accountant,68181,Good
00-31429110,Jenna,Booth,Female,New York,New York City,Bachelor,19/09/1995,22/10/2022,20/04/2023,Finance,Accounts Payable Specialist,54499,Good
00-30868105,Isaac,Wolfe,Male,New York,New York City,High School,11/05/2002,13/05/2017,15/11/2021,Operations,Inventory Specialist,57340,Needs Improvement
00-22448136,Mary,Lewis,Female,New York,New York City,Bachelor,21/11/1980,24/10/2018,30/03/2022,Operations,Logistics Coordinator,54065,Good
00-56164955,Natasha,Davis,Female,New York,New York City,High School,08/02/1994,07/02/2021,06/08/2021,Marketing,SEO Specialist,83262,Needs Improvement
00-71662963,Julie,Cooper,Female,New York,New York City,High School,26/04/1974,12/04/2020,28/01/2024,HR,Recruiter,61651,Needs Improvement
00-84093639,Christopher,Blair,Male,New York,New York City,Bachelor,26/05/1967,28/07/2017,24/01/2018,Operations,Operations Analyst,75509,Good
00-58537831,Crystal,Nielsen,Female,New York,New York City,High School,26/07/2001,31/01/2020,29/07/2020,Customer Service,Help Desk Technician,67011,Needs Improvement
00-16150444,David,Calderon,Male,Michigan,Grand Rapids,Bachelor,22/05/1987,29/08/2022,25/02/2023,IT,IT Support Specialist,60136,Good
00-41244663,Joe,Ward,Male,New York,New York City,Bachelor,13/12/1963,16/03/2023,12/09/2023,Operations,Logistics Coordinator,67552,Satisfactory
00-70855700,Aaron,Williams,Male,Michigan,Grand Rapids,Bachelor,26/12/2002,30/03/2021,26/09/2021,Operations,Inventory Specialist,59934,Good
00-59684848,Maria,Galloway,Female,New York,New York City,PhD,01/04/1963,29/11/2018,08/12/2019,Sales,Sales Manager,104162,Excellent
00-96977837,David,Garcia,Male,New York,New York City,Bachelor,03/02/1963,17/04/2016,29/01/2023,Customer Service,Customer Service Representative,63873,Good
